docid,title,text,tokencount,category,lineid
3,Data mining," the actual data mining task be the semi - automatic or automatic analysis of large quantity of datum to extract previously unknown , interesting pattern such as group of datum record ( cluster analysis ) , unusual record ( anomaly detection ) , and dependency ( association rule mining , sequential pattern mining ) . this usually involve use database technique such as spatial index . these pattern can then be see as a kind of summary of the input datum , and may be use in further analysis or , for example , in machine learning and predictive analytic . for example , the datum mining step may identify multiple group in the datum , which can then be use to obtain more accurate prediction result by a decision support system . neither the datum collection , datum preparation , nor result interpretation and reporting be part of the datum mining step , but do belong to the overall kdd process as additional step . ",166,Data mining,2
3,Data mining," the related term datum dredging , datum fishing , and datum snoop refer to the use of datum mining method to sample part of a large population datum set that be ( or may be ) too small for reliable statistical inference to be make about the validity of any pattern discover . these method can , however , be use in create new hypothesis to test against the large data population . ",73,Data mining,3
4,GNU Octave," gnu octave be software feature a high - level programming language , primarily intend for numerical computation . octave help in solve linear and nonlinear problem numerically , and for perform other numerical experiment use a language that be mostly compatible with matlab . It may also be use as a batch - orient language . 
 since it be part of the gnu project , it be free software under the term of the gnu general public license . ",80,Data mining and machine learning software,0
4,GNU Octave," octave be one of the major free alternative to matlab , other be scilab and freemat . scilab , however , put less emphasis on ( bidirectional ) syntactic compatibility with matlab than octave do . ",36,Data mining and machine learning software,1
5,Wolfram Mathematica," wolfram mathematica ( usually term mathematica ) be a modern technical computing system span most area of technical computing - include neural network , machine learning , image processing , geometry , data science , visualization , and other . the system be use in many technical , scientific , engineering , mathematical , and computing field . It be conceive by stephen wolfram and be develop by wolfram research of champaign , illinois . stephen wolfram : simple solutions ; the iconoclastic physicist 's mathematica software nail complex puzzle , businessweek , october 3 , 2005 . the wolfram language be the programming language use in mathematica . ",109,Data mining and machine learning software,0
6,Stephen Wolfram," stephen wolfram (; bear 29 august 1959 ) be a british - american computer scientist , physicist , and businessman . He be know for his work in computer science , mathematic , and in theoretical physics . in 2012 , he be name an inaugural fellow of the american mathematical society . list of fellows of the american mathematical society , retrieve 1 september 2013 . ",67,Machine learning researchers,0
6,Stephen Wolfram," as a businessman , he be the founder and ceo of the software company wolfram research where he work as chief designer of mathematica and the wolfram alpha answer engine . His recent work have be on knowledge - base programming , expand and refine the programming language of mathematica into what be now call the wolfram language . 
 ",60,Machine learning researchers,1
7,Reinforcement learning," reinforcement learning ( rl ) be an area of machine learning concerned with how software agent ought to take action in an environment so as to maximize some notion of cumulative reward . reinforcement learning be one of three basic machine learn paradigms , alongside supervised learning and unsupervised learning . ",51,Machine learning algorithms,0
7,Reinforcement learning," It differ from supervised learning in that label input / output pair need not be present , and sub - optimal action need not be explicitly correct . instead the focus be find a balance between exploration ( of uncharted territory ) and exploitation ( of current knowledge ) . ",50,Machine learning algorithms,1
7,Reinforcement learning," the environment be typically formulate as a markov decision process ( mdp ) , as many reinforcement learn algorithm for this context utilize dynamic programming technique . dimitri p. bertsekas and john n. tsitsiklis . "" neuro - dynamic programming "" , athena scientific , 1996,dimitri p. bertsekas . "" dynamic programming and optimal control : approximate dynamic programming , vol . ii "" , athena scientific , 2012 , the main difference between the classical dynamic programming method   and reinforcement learning algorithm be that the latter do not assume knowledge of an exact mathematical model of the mdp and they target large mdp where exact method become infeasible . ",111,Machine learning algorithms,2
8,Maple (software)," maple be a symbolic and numeric computing environment , and be also a multi - paradigm programming language . ",19,Data mining and machine learning software,0
8,Maple (software)," develop by maplesoft , maple also cover other aspect of technical computing , include visualization , data analysis , matrix computation , and connectivity . ",25,Data mining and machine learning software,1
8,Maple (software)," a toolbox , maplesim , add functionality for multidomain physical modeling and code generation . ",15,Data mining and machine learning software,2
9,Douglas Lenat," douglas bruce lenat ( bear 1950 ) be the ceo of cycorp , inc. of austin , texas , and have be a prominent researcher in artificial intelligence ; he be award the biannual ijcai computers and thought award in 1976 for create the machine learn program , am .   He have work on ( symbolic , not statistical ) machine learning ( with his am and eurisko program ) ,   knowledge representation , "" cognitive economy "" , blackboard system , and what he dub in 1984 "" ontological engineering "" ( with his cyc program at mcc and , since 1994 , at cycorp ) .   He have also work in military simulation , and numerous project for us government , military , intelligence , and scientific organization .   in 1980 , he publish a critique of conventional random - mutation darwinism . lenat , douglas . "" the heuristics of nature : the plausible mutation of dna . "" stanford heuristic programming project , 1980 , technical report hpp-80 - 27 .   He author a series of article in the journal of artificial intelligence explore the nature of heuristic rule . ",199,Machine learning researchers,0
9,Douglas Lenat," lenat be one of the original fellows of the aaai , and be the only individual to have serve on the scientific advisory boards of both microsoft and apple .   He be a fellow of the aaas , aaai , and cognitive science society , and an editor of the j. automated reasoning , j. learning sciences , and j. applied ontology .    He be one of the founder of   tti / vanguard in 1991 and remain a member of its advisory board still in 2017 .   He be name one of the wired 25 . ",100,Machine learning researchers,1
10,Pattern recognition," pattern recognition be the automate recognition of pattern and regularity in datum . pattern recognition be closely related to artificial intelligence and machine learning , 
  together with application such as datum mining and knowledge discovery in database ( kdd ) , and be often use interchangeably with these term . however , these be distinguished : machine learning be one approach to pattern recognition , while other approach include hand - craft ( not learn ) rule or heuristic ; and pattern recognition be one approach to artificial intelligence , while other approach include symbolic artificial intelligence . a modern definition of pattern recognition be : ",107,Machine learning,0
10,Pattern recognition," this article focus on machine learn approach to pattern recognition . pattern recognition system be in many case train from label "" training "" datum ( supervised learning ) , but when no label datum be available other algorithm can be use to discover previously unknown pattern ( unsupervised learning ) . machine learning be the common term for supervised learning method and originate from artificial intelligence , whereas kdd and datum mining have a large focus on unsupervised method and strong connection to business use . pattern recognition have its origin in engineering , and the term be popular in the context of computer vision : a lead computer vision conference be name conference on computer vision and pattern recognition . in pattern recognition , there may be a high interest to formalize , explain and visualize the pattern , while machine learn traditionally focus on maximize the recognition rate . yet , all of these domain have evolve substantially from their root in artificial intelligence , engineering and statistic , and they have become increasingly similar by integrate development and idea from each other . ",187,Machine learning,1
10,Pattern recognition," in machine learning , pattern recognition be the assignment of a label to a give input value . in statistic , discriminant analysis be introduce for this same purpose in 1936 . an example of pattern recognition be classification , which attempt to assign each input value to one of a give set of class ( for example , determine whether a give email be "" spam "" or "" non - spam "" ) . however , pattern recognition be a more general problem that encompass other type of output as well . other example be regression , which assign a real - value output to each input ; sequence labeling , which assign a class to each member of a sequence of value ( for example , part of speech tagging , which assign a part of speech to each word in an input sentence ) ; and parse , which assign a parse tree to an input sentence , describe the syntactic structure of the sentence . ",170,Machine learning,2
10,Pattern recognition," pattern recognition algorithm generally aim to provide a reasonable answer for all possible input and to perform "" most likely "" matching of the input , take into account their statistical variation . this be oppose to pattern match algorithm , which look for exact match in the input with pre - exist pattern . a common example of a pattern - match algorithm be regular expression matching , which look for pattern of a give sort in textual datum and be include in the search capability of many text editor and word processor . in contrast to pattern recognition , pattern matching be not generally a type of machine learning , although pattern - match algorithm ( especially with fairly general , carefully tailor pattern ) can sometimes succeed in provide similar - quality output of the sort provide by pattern - recognition algorithm . ",146,Machine learning,3
11,SAS Institute," sas institute ( or sas , pronounce "" sass "" ) be an american multinational developer of analytic software base in cary , north carolina . sas develop and market a suite of analytic software ( also call sas ) , which help access , manage , analyze and report on datum to aid in decision - making . the company be the world 's large privately hold software business and its software be use by most of the fortune 500 . ",82,Data analysis software,0
11,SAS Institute," sas institute start as a project at north carolina state university to create a statistical analysis system ( hence the proper name , statistical analysis system ) that be originally use primarily by agricultural department at university in the late 1960 . It become an independent , private business lead by current ceo james goodnight and three other project leader from the university in 1976 . sas grow from $ 10 million in revenue in 1980 to $ 1.1 billion by 2000 . a large proportion of these revenue be spend on research and development than at most other software company , at one point more than double the industry average . ",112,Data analysis software,1
12,Vladimir Vapnik," vladimir naumovich vapnik (; bear 6 december 1936 ) be one of the main developer of the vapnik – chervonenkis theory of statistical learning , and the co - inventor of the support - vector machine method , and support - vector clustering algorithm . ",45,Machine learning researchers,0
13,Early stopping," in machine learning , early stopping be a form of regularization use to avoid overfitt when train a learner with an iterative method , such as gradient descent . such method update the learner so as to make it better fit the training datum with each iteration . up to a point , this improve the learner 's performance on datum outside of the training set . past that point , however , improve the learner 's fit to the training datum come at the expense of increase generalization error . early stop rule provide guidance as to how many iteration can be run before the learner begin to over - fit . early stop rule have be employ in many different machine learning method , with vary amount of theoretical foundation . ",133,Machine learning,0
14,Machine learning," machine learning ( ml ) be the scientific study of algorithm and statistical model that computer system use in order to perform a specific task effectively without use explicit instruction , rely on pattern and inference instead . It be see as a subset of artificial intelligence . machine learn algorithm build a mathematical model base on sample datum , know as "" training datum "" , in order to make prediction or decision without be explicitly program to perform the task . machine learn algorithm be use in a wide variety of application , such as email filtering , and computer vision , where it be infeasible to develop an algorithm of specific instruction for perform the task . machine learning be closely related to computational statistic , which focus on make prediction use computer . the study of mathematical optimization deliver method , theory and application domain to the field of machine learning . datum mining be a field of study within machine learning , and focus on exploratory datum analysis through unsupervised learning . in its application across business problem , machine learning be also refer to as predictive analytic . ",194,Machine learning,0
15,Formal concept analysis," formal concept analysis ( fca ) be a principl way of derive a concept hierarchy or formal ontology from a collection of object and their property . each concept in the hierarchy represent the object share some set of property ; and each sub - concept in the hierarchy represent a subset of the object ( as well as a superset of the property ) in the concept above it . the term be introduce by rudolf wille in 1981 , and build on the mathematical theory of lattice and order set that be develop by garrett birkhoff and other in the 1930 . ",104,Machine learning,0
15,Formal concept analysis," formal concept analysis find practical application in field include datum mining , text mining , machine learning , knowledge management , semantic web , software development , chemistry and biology . ",31,Machine learning,1
16,Dynamic time warping," in time series analysis , dynamic time warping ( dtw ) be one of the algorithm for measure similarity between two temporal sequence , which may vary in speed .   for instance , similarity in walking could be detect use dtw , even if one person be walk faster than the other , or if there be acceleration and deceleration during the course of an observation . dtw have be apply to temporal sequence of video , audio , and graphic datum -- indeed , any datum that can be turn into a linear sequence can be analyze with dtw . a well know application have be automatic speech recognition , to cope with different speaking speed . other application include speaker recognition and online signature recognition . also it be see that it can be use in partial shape matching application . ",144,Machine learning algorithms,0
16,Dynamic time warping," in general , dtw be a method that calculate an optimal match between two give sequence ( e.g. time series ) with certain restriction and rule : 
  every index from the first sequence must be match with one or more index from the other sequence , and vice versa 
  the first index from the first sequence must be match with the first index from the other sequence ( but it do not have to be its only match ) 
  the last index from the first sequence must be match with the last index from the other sequence ( but it do not have to be its only match ) 
  the mapping of the index from the first sequence to index from the other sequence must be monotonically increase , and vice versa , i.e. if j > i be index from the first sequence , then there must not be two index l > k in the other sequence , such that index i be match with index l and index j be match with index k , and vice versa ",185,Machine learning algorithms,1
16,Dynamic time warping," the optimal match be denote by the match that satisfy all the restriction and the rule and that have the minimal cost , where the cost be compute as the sum of absolute difference , for each match pair of index , between their value . ",46,Machine learning algorithms,2
16,Dynamic time warping," the sequence be "" warped "" non - linearly in the time dimension to determine a measure of their similarity independent of certain non - linear variation in the time dimension . this sequence alignment method be often use in time series classification . although dtw measure a distance - like quantity between two give sequence , it do not guarantee the triangle inequality to hold . ",67,Machine learning algorithms,3
16,Dynamic time warping," in addition to a similarity measure between the two sequence , a so call "" warp path "" be produce , by warp accord to this path the two signal may be align in time . the signal with an original set of point x(original ) , y(original ) be transform to x(warped ) , y(warped ) . this find application in genetic sequence and audio synchronisation . in a related technique sequence of vary speed may be average use this technique see the average sequence section . ",88,Machine learning algorithms,4
16,Dynamic time warping," this be conceptually very similar to the needleman – wunsch algorithm , which be explain in great detail . ",19,Machine learning algorithms,5
17,R (programming language)," r be a programming language and free software environment for statistical computing and graphic support by the r foundation for statistical computing . the r language be widely use among statistician and datum miner for develop statistical software and datum analysis . poll , datum mining survey , and study of scholarly literature database show substantial increase in popularity ;   r rank 22nd in the tiobe index , a measure of popularity of programming language . ",77,Data mining and machine learning software,0
17,R (programming language)," a gnu package , source code for the r software environment be write primarily in c , fortran and r itself , and be freely available under the gnu general public license . pre - compile binary version be provide for various operating system . although r have a command line interface , there be several graphical user interface , such as rstudio , an integrate development environment . ",69,Data mining and machine learning software,1
18,Computational learning theory," in computer science , computational learning theory ( or just learn theory ) be a subfield of artificial intelligence devote to study the design and analysis of machine learn algorithms.http://www.learningtheory.org/ ",30,Machine learning,0
19,Visual inspection," visual inspection be a common method of quality control , datum acquisition , and datum analysis . visual inspection , use in maintenance of facility , mean inspection of equipment and structure use either or all of raw human sens such as vision , hearing , touch and smell and/or any non - specialize inspection equipment . 
 inspections require ultrasonic , x - ray equipment , infra - red , etc . be not typically regard as visual inspection as these inspection methodology require specialized equipment , training and certification . ",92,Data analysis,0
20,Jürgen Schmidhuber," jürgen schmidhuber ( bear 17 january 1963)cv be a computer scientist most note for his work in the field of artificial intelligence , deep learning and artificial neural network . He be a co - director of the dalle molle institute for artificial intelligence research in   manno , in the district of lugano , in ticino in southern switzerland . He be sometimes call the "" father of ( modern ) ai "" or "" father of deep learning . "" ",82,Machine learning researchers,0
20,Jürgen Schmidhuber," schmidhuber do his undergraduate study at the technische universität münchen in munich , germany . He teach there from 2004 until 2009 when he become a professor of artificial intelligence at the università della svizzera italiana in lugano , switzerland . ",41,Machine learning researchers,1
21,Solomonoff's theory of inductive inference," ray solomonoff 's theory of universal inductive inference be a theory of prediction base on logical observation , such as predict the next symbol base upon a give series of symbol . the only assumption that the theory make be that the environment follow some unknown but computable probability distribution . It be a mathematical formalization of occam 's razorjj mccall . induction : from kolmogorov and solomonoff to de finetti and back to kolmogorov – metroeconomica , 2004 – wiley online library . d stork . foundation of occam 's razor and parsimony in learn from ricoh.com – nips 2001 workshop , 2001a.n. soklakov . occam 's razor as a formal basis for a physical theory 
 from arxiv.org – foundations of physics letters , 2002 – springerm hutter . on the existence and convergence of computable universal prior arxiv.org – algorithmic learning theory , 2003 – springer and the principle of multiple explanations . ming li and paul vitanyi , an introduction to kolmogorov complexity and Its applications .   springer - verlag , New York , 2008p 339 ff . ",182,Machine learning,0
21,Solomonoff's theory of inductive inference," prediction be do use a completely bayesian framework . the universal prior be calculate for all computable sequence — this be the universal a priori probability distribution ; 
 no computable hypothesis will have a zero probability . this mean that bayes rule of causation can be use in predict the continuation of any particular computable sequence . ",58,Machine learning,1
22,Folding@home," folding@home ( fah or f@h ) be a distribute computing project for disease research that simulate protein fold , computational drug design , and other type of molecular dynamic . the project use the idle processing resource of thousand of personal computer own by volunteer who have instal the software on their system . Its main purpose be to determine the mechanism of protein folding , which be the process by which protein reach their final three - dimensional structure , and to examine the cause of protein misfolding . this be of significant academic interest with major implication for medical research into alzheimer 's disease , huntington 's disease , and many form of cancer , among other disease . to a less extent , folding@home also try to predict a protein 's final structure and determine how other molecule may interact with it , which have application in drug design . folding@home be develop and operate by the pande laboratory at stanford university , under the direction of prof . vijay pande , and be share by various scientific institution and research laboratory across the world . ",189,Data mining and machine learning software,0
22,Folding@home," the project have pioneer the use of graphic process unit ( gpus ) , playstation    3s , message passing interface ( use for compute on multi - core processor ) , and some sony xperia smartphone for distribute computing and scientific research . the project use statistical simulation methodology that be a paradigm shift from traditional computing method . as part of the client – server model network architecture , the volunteer machine each receive piece of a simulation ( work unit ) , complete them , and return them to the project 's database server , where the unit be compile into an overall simulation . volunteer can track their contribution on the folding@home website , which make volunteer ' participation competitive and encourage long - term involvement . ",131,Data mining and machine learning software,1
22,Folding@home," folding@home be one of the world 's fast computing system , with a speed of approximately . this performance from its large - scale computing network have allow researcher to run computationally costly atomic - level simulation of protein fold thousand of time longer than formerly achieve . since its launch on 1    oct    2000 , the pande lab have produce 206 scientific research paper as a direct result of folding@home . result from the project 's simulation agree well with experiment . ",85,Data mining and machine learning software,2
23,Evolutionary programming," evolutionary programming be one of the four major evolutionary algorithm paradigms .   It be similar to genetic programming , but the structure of the program to be optimize be fix , while its numerical parameter be allow to evolve . 
 It be first use by lawrence j. fogel in the us in 1960 in order to use simulate evolution as a learning process aim to generate artificial intelligence . fogel use finite - state machine as predictor and evolve them . 
 currently evolutionary programming be a wide evolutionary computing dialect with no fix structure or ( representation ) , in contrast with some of the other dialect . It be become hard to distinguish from evolutionary strategy . ",121,Machine learning,0
23,Evolutionary programming," Its main variation operator be mutation ; member of the population be view as part of a specific specie rather than member of the same specie therefore each parent generate an offspring , use a ( μ + μ ) survivor selection . ",43,Machine learning,1
24,FICO," fico ( legal name : fair isaac corporation ) , originally fair , isaac and company , be a data analytic company base in san jose , california focus on credit scoring service . It be found by bill fair and earl isaac in 1956 . Its fico score , a measure of consumer credit risk , have become a fixture of consumer lending in the united states . ",69,Data mining and machine learning software,0
24,FICO," in 2013 , lender purchase more than 10 billion fico score and about 30 million american consumer access their score themselves . ",22,Data mining and machine learning software,1
25,Expectation–maximization algorithm," in statistic , an expectation – maximization ( em ) algorithm be an iterative method to find maximum likelihood or maximum a posteriori ( map ) estimate of parameter in statistical model , where the model depend on unobserved latent variable . the em iteration alternate between perform an expectation ( e ) step , which create a function for the expectation of the log - likelihood evaluate use the current estimate for the parameter , and a maximization ( m ) step , which compute parameter maximize the expect log - likelihood find on the e step . these parameter - estimate be then use to determine the distribution of the latent variable in the next e step . ",120,Machine learning algorithms,0
26,Geoffrey Hinton," geoffrey everest hinton   one or more of the precede sentence incorporate text from the royalsociety.org website where :   ( bear 6 december 1947 ) be an english canadian cognitive psychologist and computer scientist , most note for his work on artificial neural network . since 2013 he divide his time work for google ( google brain ) and the university of toronto . ",65,Machine learning researchers,0
26,Geoffrey Hinton," with david e. rumelhart and ronald j. williams , hinton be co - author of a highly - cite paper publish in 1986 that popularize the backpropagation algorithm for train multi - layer neural network , although they be not the first to propose the approach . hinton be view by some as a leading figure in the deep learning community and be refer to by some as the "" godfather of deep learning "" . the dramatic image - recognition milestone of the alexnet design by his student alex krizhevsky for the imagenet challenge 2012 help to revolutionize the field of computer vision . hinton be award the 2018 turing prize alongside yoshua bengio and yann lecun for their work on deep learning . ",125,Machine learning researchers,1
27,Apriori algorithm," apriorirakesh agrawal and ramakrishnan srikant fast algorithm for mining association rule . proceeding of the 20th international conference on very large data bases , vldb , page 487 - 499 , santiago , chile , september 1994 . be an algorithm for frequent item set mining and association rule learn over transactional database . It proceed by identify the frequent individual item in the database and extend them to large and large item set as long as those item set appear sufficiently often in the database . the frequent item set determine by apriori can be use to determine association rule which highlight general trend in the database : this have application in domain such as market basket analysis . ",120,Data mining algorithms,0
28,Cluster analysis," cluster analysis or clustering be the task of group a set of object in such a way that object in the same group ( call a cluster ) be more similar ( in some sense ) to each other than to those in other group ( cluster ) . It be a main task of exploratory datum mining , and a common technique for statistical datum analysis , use in many field , include machine learning , pattern recognition , image analysis , information retrieval , bioinformatic , datum compression , and computer graphic . ",95,Data mining,0
28,Cluster analysis," cluster analysis itself be not one specific algorithm , but the general task to be solve . It can be achieve by various algorithm that differ significantly in their understanding of what constitute a cluster and how to efficiently find them . popular notion of cluster include group with small distance between cluster member , dense area of the data space , interval or particular statistical distribution . clustering can therefore be formulate as a multi - objective optimization problem . the appropriate clustering algorithm and parameter setting ( include parameter such as the distance function to use , a density threshold or the number of expect cluster ) depend on the individual datum set and intend use of the result . cluster analysis as such be not an automatic task , but an iterative process of knowledge discovery or interactive multi - objective optimization that involve trial and failure . It be often necessary to modify datum preprocess and model parameter until the result achieve the desire property . ",170,Data mining,1
28,Cluster analysis," besides the term cluster , there be a number of term with similar meaning , include automatic classification , numerical taxonomy , botryology ( from greek βότρυς "" grape "" ) , typological analysis , and community detection . the subtle difference be often in the use of the result : while in datum mining , the result group be the matter of interest , in automatic classification the result discriminative power be of interest . ",76,Data mining,2
28,Cluster analysis, cluster analysis be originate in anthropology by driver and kroeber in 1932 and introduce to psychology by joseph zubin in 1938 and robert tryon in 1939 and famously use by cattell begin in 1943 for trait theory classification in personality psychology . ,42,Data mining,3
29,Curse of dimensionality," the curse of dimensionality refer to various phenomenon that arise when analyze and organize datum in high - dimensional space ( often with hundred or thousand of dimension ) that do not occur in low - dimensional setting such as the three - dimensional physical space of everyday experience . the expression be coin by richard e. bellman when consider problem in dynamic programming.,republish : ",65,Machine learning,0
29,Curse of dimensionality," cursed phenomenon occur in domain such as numerical analysis , sampling , combinatoric , machine learning , datum mining and database . the common theme of these problem be that when the dimensionality increase , the volume of the space increase so fast that the available datum become sparse . this sparsity be problematic for any method that require statistical significance . in order to obtain a statistically sound and reliable result , the amount of datum need to support the result often grow exponentially with the dimensionality . also , organizing and search datum often rely on detect area where object form group with similar property ; in high dimensional datum , however , all object appear to be sparse and dissimilar in many way , which prevent common datum organization strategy from be efficient . ",137,Machine learning,1
30,Data profiling," datum profiling be the process of examine the datum available from an exist information source ( e.g. a database or a file ) and collect statistic or informative summary about that datum . the purpose of these statistic may be to : 
  find out whether exist datum can be easily use for other purpose 
  improve the ability to search datum by tag it with keyword , description , or assign it to a category 
  assess datum quality , include whether the datum conform to particular standard or pattern 
  assess the risk involve in integrate datum in new application , include the challenge of join 
  discover metadata of the source database , include value pattern and distribution , key candidate , foreign - key candidate , and functional dependency 
  assess whether know metadata accurately describe the actual value in the source database 
  understanding data challenge early in any datum intensive project , so that late project surprise be avoid . find data problem late in the project can lead to delay and cost overrun . 
  have an enterprise view of all datum , for us such as master data management , where key data be need , or data governance for improve datum quality . ",212,Data analysis,0
31,Web mining," web mining be the application of datum mining technique to discover pattern from the world wide web . as the name propose , this be information gather by mine the web . It make utilization of automate apparatus to reveal and extricate datum from server and web2 report , and it permit organization to get to both organized and unstructured information from browser activity , server log , website and link structure , page content and different source . ",79,Data mining,0
31,Web mining," the goal of web structure mining be to generate structural summary about the web site and web page . technically , web content mining mainly focus on the structure of inner - document , while web structure mining try to discover the link structure of the hyperlink at the inter - document level . base on the topology of the hyperlink , web structure mining will categorize the web page and generate the information , such as the similarity and relationship between different web site . ",86,Data mining,1
31,Web mining," web structure mining can also have another direction -- discover the structure of web document itself . this type of structure mining can be use to reveal the structure ( schema ) of web page , this would be good for navigation purpose and make it possible to compare / integrate web page scheme . this type of structure mining will facilitate introduce database technique for access information in web page by provide a reference schema . ",77,Data mining,2
32,Confusion matrix," in the field of machine learning and specifically the problem of statistical classification , a confusion matrix , also know as an error matrix , be a specific table layout that allow visualization of the performance of an algorithm , typically a supervised learn one ( in unsupervised learning it be usually call a match matrix ) .   each row of the matrix represent the instance in a predict class while each column represent the instance in an actual class ( or vice versa ) .   the name stem from the fact that it make it easy to see if the system be confuse two class ( i.e. commonly mislabel one as another ) . ",117,Machine learning,0
32,Confusion matrix," It be a special kind of contingency table , with two dimension ( "" actual "" and "" predict "" ) , and identical set of "" class "" in both dimension ( each combination of dimension and class be a variable in the contingency table ) . ",48,Machine learning,1
33,Receiver operating characteristic," a receiver operate characteristic curve , or roc curve , be a graphical plot that illustrate the diagnostic ability of a binary classifier system as its discrimination threshold be varied . ",31,Data mining,0
33,Receiver operating characteristic," the roc curve be create by plot the true positive rate ( tpr ) against the false positive rate ( fpr ) at various threshold setting . the true - positive rate be also know as sensitivity , recall or probability of detection in machine learning . the false - positive rate be also know as the fall - out or probability of false alarm and can be calculate as ( 1 − specificity ) . It can also be think of as a plot of the power as a function of the type i error of the decision rule ( when the performance be calculate from just a sample of the population , it can be think of as estimator of these quantity ) . the roc curve be thus the sensitivity as a function of fall - out . in general , if the probability distribution for both detection and false alarm be know , the roc curve can be generate by plot the cumulative distribution function ( area under the probability distribution from -\infty to the discrimination threshold ) of the detection probability in the y - axis versus the cumulative distribution function of the false - alarm probability on the x - axis . ",208,Data mining,1
33,Receiver operating characteristic, roc analysis provide tool to select possibly optimal model and to discard suboptimal one independently from ( and prior to specify ) the cost context or the class distribution . roc analysis be relate in a direct and natural way to cost / benefit analysis of diagnostic decision making . ,50,Data mining,2
